k,method,n,observed_diff,ci_lo,ci_hi,crosses_zero,n_boot
2,weight_averaging,28,-0.15746618816701807,-0.6141589559799417,0.3453871722046718,True,200
2,task_arithmetic,28,-0.06151448959293149,-0.9631089172879315,0.2537135568730363,True,200
2,ties,28,0.08419932829152244,-0.40643415357648016,0.5023458982141256,True,200
3,weight_averaging,56,-0.013909205136786507,-0.3884583894612021,0.18709749298060865,True,200
3,task_arithmetic,56,-0.04732277780792593,-0.4387718811906233,0.14733999539964446,True,200
3,ties,56,0.06769145497912299,-0.18669658391980815,0.2617811870776881,True,200
4,weight_averaging,70,-0.11357030268341484,-0.26410361422845996,0.043137330408188436,True,200
4,task_arithmetic,70,-0.03391215948384363,-0.216805201397705,0.08133364029315512,True,200
4,ties,70,0.01962934911172587,-0.12678772228029744,0.10817100738268752,True,200
