method,n,data_free_r,data_free_fold_r,data_free_n_features,data_free_lambda_median,data_free_lambda_min,data_free_lambda_max,full_r,full_fold_r,full_n_features,full_lambda_median,full_lambda_min,full_lambda_max,retention
weight_averaging,28,0.3294643915453833,0.6077686334900358,11,0.0178,0.00562,0.0316,0.48693057971239134,0.7087977731403974,18,0.1,0.00316,0.1,0.6766147070491724
task_arithmetic,28,0.46493146379720945,0.5682018235844554,11,0.0178,0.01,0.1,0.5264459533901582,0.7517525979768432,18,0.0562,0.000178,0.1,0.8831513677770464
ties,28,0.5182034711935618,0.6268341164980469,11,0.0439,0.01,0.1,0.43400414290204875,0.6999278896492649,18,0.1,0.00178,0.1,1.194005816922619
