density,tasks,k,method,normalized_accuracy,mean_raw_accuracy
0.2,RESISC45|SVHN,2,ties,0.7580357142857144,0.735
0.2,SUN397|SVHN,2,ties,0.8084524718978501,0.6890000000000001
0.4,Cars|DTD,2,ties,0.7538476240292922,0.6315
0.4,Cars|EuroSAT,2,ties,0.8514066511085181,0.7885
0.4,Cars|GTSRB,2,ties,0.7461151774453991,0.681
0.4,Cars|MNIST,2,ties,0.9048932093831086,0.841
0.4,Cars|RESISC45,2,ties,0.8545100398677558,0.7755000000000001
0.4,Cars|SUN397,2,ties,0.8889578744407491,0.712
0.4,Cars|SVHN,2,ties,0.8388838615959803,0.7685
0.4,DTD|EuroSAT,2,ties,0.7301650246305419,0.668
0.4,DTD|GTSRB,2,ties,0.6389809424292183,0.5745
0.4,DTD|MNIST,2,ties,0.7955343864104629,0.733
0.4,DTD|RESISC45,2,ties,0.743116276683087,0.665
0.4,DTD|SUN397,2,ties,0.7771166460314533,0.6014999999999999
0.4,DTD|SVHN,2,ties,0.7388106966924701,0.669
0.4,EuroSAT|GTSRB,2,ties,0.7362020202020202,0.733
0.4,EuroSAT|MNIST,2,ties,0.880900702106319,0.8795
0.4,EuroSAT|RESISC45,2,ties,0.8412708333333334,0.8245
0.4,EuroSAT|SUN397,2,ties,0.8552352941176471,0.7384999999999999
0.4,EuroSAT|SVHN,2,ties,0.7804489795918368,0.7725
0.4,GTSRB|MNIST,2,ties,0.8037587510004762,0.799
0.4,GTSRB|RESISC45,2,ties,0.7243686868686869,0.7045
0.4,GTSRB|SUN397,2,ties,0.7554070112893643,0.6385000000000001
0.4,GTSRB|SVHN,2,ties,0.7517161410018554,0.74
0.4,MNIST|RESISC45,2,ties,0.8876567201604815,0.8695
0.4,MNIST|SUN397,2,ties,0.916264166832047,0.8005
0.4,MNIST|SVHN,2,ties,0.8983767629418868,0.8885
0.4,RESISC45|SUN397,2,ties,0.8690424465240641,0.7364999999999999
0.4,RESISC45|SVHN,2,ties,0.8093856292517008,0.785
0.4,SUN397|SVHN,2,ties,0.8563925570228093,0.7335
0.8,Cars|DTD,2,ties,0.7550468181478522,0.6325000000000001
0.8,Cars|EuroSAT,2,ties,0.8533238039673279,0.79
0.8,Cars|GTSRB,2,ties,0.7404464717183503,0.675
0.8,Cars|MNIST,2,ties,0.9010549735554388,0.8375
0.8,Cars|RESISC45,2,ties,0.8517180814858032,0.773
0.8,Cars|SUN397,2,ties,0.8887145183733831,0.7115
0.8,Cars|SVHN,2,ties,0.8407782249422524,0.7705
0.8,DTD|EuroSAT,2,ties,0.7348596059113301,0.672
0.8,DTD|GTSRB,2,ties,0.6340411504204607,0.5695
0.8,DTD|MNIST,2,ties,0.7931855912565282,0.7310000000000001
0.8,DTD|RESISC45,2,ties,0.7459103037766831,0.6675
0.8,DTD|SUN397,2,ties,0.776711625088907,0.601
0.8,DTD|SVHN,2,ties,0.7419774806474314,0.672
0.8,EuroSAT|GTSRB,2,ties,0.7411969696969697,0.738
0.8,EuroSAT|MNIST,2,ties,0.8858961885656971,0.8845000000000001
0.8,EuroSAT|RESISC45,2,ties,0.8524583333333333,0.8354999999999999
0.8,EuroSAT|SUN397,2,ties,0.8463983957219251,0.73
0.8,EuroSAT|SVHN,2,ties,0.7784591836734693,0.7705
0.8,GTSRB|MNIST,2,ties,0.8072763745782803,0.8025
0.8,GTSRB|RESISC45,2,ties,0.7198232323232323,0.7
0.8,GTSRB|SUN397,2,ties,0.7478015448603684,0.63
0.8,GTSRB|SVHN,2,ties,0.7573026180169038,0.7455
0.8,MNIST|RESISC45,2,ties,0.8846670218990305,0.8665
0.8,MNIST|SUN397,2,ties,0.9119175708945018,0.796
0.8,MNIST|SVHN,2,ties,0.9044731132172026,0.8945
0.8,RESISC45|SUN397,2,ties,0.8738775623885917,0.741
0.8,RESISC45|SVHN,2,ties,0.810342261904762,0.786
0.8,SUN397|SVHN,2,ties,0.8552493724762633,0.7330000000000001
1.0,Cars|DTD,2,ties,0.7448051686775382,0.624
1.0,Cars|EuroSAT,2,ties,0.8282397899649943,0.7655000000000001
1.0,Cars|GTSRB,2,ties,0.7217943731362635,0.657
1.0,Cars|MNIST,2,ties,0.8857740081387687,0.823
1.0,Cars|RESISC45,2,ties,0.8440508313885648,0.766
1.0,Cars|SUN397,2,ties,0.8777026563250738,0.7025
1.0,Cars|SVHN,2,ties,0.8280939680422927,0.7585
1.0,DTD|EuroSAT,2,ties,0.7160492610837439,0.654
1.0,DTD|GTSRB,2,ties,0.6114382743693088,0.548
1.0,DTD|MNIST,2,ties,0.7827429332331972,0.7215
1.0,DTD|RESISC45,2,ties,0.7317503078817734,0.655
