method,k,n,observed_increment,null_p95,p_value,clears
weight_averaging,3,56,0.25626915517692134,0.23134796438214633,0.0345,True
weight_averaging,4,70,0.07770721754991808,0.2080487494770134,0.264,False
task_arithmetic,3,56,0.7340073338567938,0.23016320619308922,0.0,True
task_arithmetic,4,70,0.5137054315822156,0.19576588909011539,0.0,True
ties,3,56,0.8829804482838124,0.22503260128424124,0.0,True
ties,4,70,0.7476790994153323,0.19110416420938003,0.0,True
