tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|DTD|RESISC45,3,task_arithmetic,0.8358873649279989,0.7360000000000001
Cars|DTD|RESISC45,3,ties,0.7399427003798206,0.6516666666666667
Cars|DTD|SUN397,3,weight_averaging,0.8575024531051852,0.69
Cars|DTD|SUN397,3,task_arithmetic,0.8472124034317968,0.6813333333333333
Cars|DTD|SUN397,3,ties,0.7730285297308807,0.621
Cars|DTD|SVHN,3,weight_averaging,0.8619361163368499,0.7653333333333334
Cars|DTD|SVHN,3,task_arithmetic,0.847574636823707,0.753
Cars|DTD|SVHN,3,ties,0.7181285961453345,0.636
Cars|EuroSAT|GTSRB,3,weight_averaging,0.8918464064998487,0.8460000000000001
Cars|EuroSAT|GTSRB,3,task_arithmetic,0.8705937515960853,0.8250000000000001
Cars|EuroSAT|GTSRB,3,ties,0.6942369749615956,0.6523333333333333
Cars|EuroSAT|MNIST,3,weight_averaging,0.9431983679548953,0.8986666666666667
Cars|EuroSAT|MNIST,3,task_arithmetic,0.9348606336317392,0.8906666666666667
Cars|EuroSAT|MNIST,3,ties,0.8052030233056228,0.7643333333333334
Cars|EuroSAT|RESISC45,3,weight_averaging,0.9073831842344094,0.8530000000000001
Cars|EuroSAT|RESISC45,3,task_arithmetic,0.8998831194087904,0.8456666666666667
Cars|EuroSAT|RESISC45,3,ties,0.7876994522235187,0.737
Cars|EuroSAT|SUN397,3,weight_averaging,0.9391618317847984,0.8166666666666668
Cars|EuroSAT|SUN397,3,task_arithmetic,0.9321614428310839,0.8099999999999999
Cars|EuroSAT|SUN397,3,ties,0.8070719647570496,0.6913333333333332
Cars|EuroSAT|SVHN,3,weight_averaging,0.9028368934504959,0.8540000000000001
Cars|EuroSAT|SVHN,3,task_arithmetic,0.8892846744298654,0.8406666666666668
Cars|EuroSAT|SVHN,3,ties,0.7378790036434643,0.693
Cars|GTSRB|MNIST,3,weight_averaging,0.9141427133728426,0.8676666666666666
Cars|GTSRB|MNIST,3,task_arithmetic,0.9013213912646165,0.8553333333333333
Cars|GTSRB|MNIST,3,ties,0.7542523956958626,0.7116666666666666
Cars|GTSRB|RESISC45,3,weight_averaging,0.8880959537027215,0.8300000000000001
Cars|GTSRB|RESISC45,3,task_arithmetic,0.8664984392741103,0.8093333333333333
Cars|GTSRB|RESISC45,3,ties,0.7201553899555649,0.6676666666666667
Cars|GTSRB|SUN397,3,weight_averaging,0.9138376234951154,0.7893333333333333
Cars|GTSRB|SUN397,3,task_arithmetic,0.8960778420487392,0.7723333333333334
Cars|GTSRB|SUN397,3,ties,0.7528845667187353,0.6363333333333333
Cars|GTSRB|SVHN,3,weight_averaging,0.9130166275107099,0.8610000000000001
Cars|GTSRB|SVHN,3,task_arithmetic,0.8930535199830083,0.8416666666666667
Cars|GTSRB|SVHN,3,ties,0.7086578964058544,0.662
Cars|MNIST|RESISC45,3,weight_averaging,0.9260729790011809,0.87
Cars|MNIST|RESISC45,3,task_arithmetic,0.922041318838533,0.866
Cars|MNIST|RESISC45,3,ties,0.8340009437426762,0.7823333333333333
Cars|MNIST|SUN397,3,weight_averaging,0.9441983973205993,0.8213333333333334
Cars|MNIST|SUN397,3,task_arithmetic,0.9373528357282247,0.8153333333333332
Cars|MNIST|SUN397,3,ties,0.8620862060991462,0.7466666666666667
Cars|MNIST|SVHN,3,weight_averaging,0.9395179274876041,0.8893333333333334
Cars|MNIST|SVHN,3,task_arithmetic,0.9351193576283666,0.8850000000000001
Cars|MNIST|SVHN,3,ties,0.8313019504460722,0.7856666666666667
Cars|RESISC45|SUN397,3,weight_averaging,0.9078305252920447,0.7753333333333333
