method,n,data_free_r,data_free_fold_r,data_free_n_features,data_free_lambda_median,data_free_lambda_min,data_free_lambda_max,full_r,full_fold_r,full_n_features,full_lambda_median,full_lambda_min,full_lambda_max,retention
weight_averaging,56,0.6111149414759875,0.6919928393648713,11,0.01,0.001,0.1,0.625024146612774,0.7510345926005784,18,0.1,0.0178,0.1,0.9777461315500124
task_arithmetic,56,0.576920800024803,0.6774249412302651,11,0.0139,0.00316,0.1,0.6242435778327274,0.7468366184886951,18,0.0439,0.00562,0.1,0.924191806710737
ties,56,0.5875995806606781,0.6621579336650922,11,0.020800000000000003,0.00562,0.0562,0.5199081256815554,0.7054661980610436,18,0.0439,0.0001,0.1,1.130198878677622
