method,k,n_full,n_matched,r_full,median_r,p05,p95,draws_used
weight_averaging,2,28,28,0.3294643915453729,0.3294643915453729,0.3294643915453729,0.3294643915453729,0
weight_averaging,3,56,28,0.6111149414759872,0.5217994130578751,0.2578697490678341,0.7034767111808857,100
weight_averaging,4,70,28,0.6265522125598405,0.5911735898546581,0.2798759051309916,0.7589432572742306,100
task_arithmetic,2,28,28,0.4649314637972075,0.4649314637972075,0.4649314637972075,0.4649314637972075,0
task_arithmetic,3,56,28,0.5769208000248022,0.463171230113266,0.2441264045943945,0.6770735405856666,100
task_arithmetic,4,70,28,0.6957891528844011,0.612331804472823,0.332336399230597,0.7729121841209241,100
ties,2,28,28,0.518203471193564,0.518203471193564,0.518203471193564,0.518203471193564,0
ties,3,56,28,0.5875995806606779,0.5507560072757032,0.2667398478233074,0.7226878583240961,100
ties,4,70,28,0.669955189393744,0.6581565774436506,0.3937890146533061,0.799826041190352,100
