method,n_subsets,n_tasks,n_features,observed_r,ci_lo,ci_hi,null_random_mean,null_random_p95,null_shuffled_mean,null_shuffled_p95,clears_both_nulls,grouped_n_features,grouped_r,grouped_null_p95,grouped_clears
weight_averaging,28,8,11,0.3294643915453729,-0.2662918697948914,0.8202019093509156,0.013372036951880167,0.44066708245201547,-0.03332034946430677,0.3764677728036527,False,3,0.2288699802896297,0.45038443574951215,False
task_arithmetic,28,8,11,0.4649314637972075,-0.4651320245048533,0.67475106606171,0.009837759728937363,0.48224579833855824,-0.048695326743809844,0.38966663418705827,False,3,0.12599551603470502,0.4317827319875581,False
ties,28,8,11,0.518203471193564,-0.21929404889724438,0.7587789595756487,0.0278171413866533,0.47280864976590764,-0.03873837079762258,0.37991805620975383,True,3,0.5476374616761985,0.4447442115926861,True
