method,k,n,train_r,r_mean,r_min,r_max,n_scored
weight_averaging,3,56,0.8203410312855186,0.4734920019174034,0.2954065673937553,0.43683573922927493,56
weight_averaging,4,70,0.8203410312855186,0.5427864777656546,0.3099812087410235,0.3708207771869054,70
task_arithmetic,3,56,0.7342683438776041,0.5937201307134732,0.4904399700418137,0.5484032891690225,56
task_arithmetic,4,70,0.7342683438776041,0.6290930562050123,0.4383619810357286,0.5355699741194421,70
ties,3,56,0.7399588950501844,0.6086845455519092,0.6086974269962793,0.5766451420021015,56
ties,4,70,0.7399588950501844,0.6325335958878869,0.626200590431512,0.6020806802175815,70
