method,n_subsets,n_tasks,n_features,observed_r,ci_lo,ci_hi,null_random_mean,null_random_p95,null_shuffled_mean,null_shuffled_p95,clears_both_nulls,grouped_n_features,grouped_r,grouped_null_p95,grouped_clears
weight_averaging,70,8,11,0.6265522125598405,0.2930931788374411,0.7439374048546469,-0.007089068926025225,0.25052918603747953,-0.03708560012078519,0.21647309112915863,True,3,0.47793380257008894,0.264390377899297,True
task_arithmetic,70,8,11,0.6957891528844011,0.34836285474085915,0.7717063619392621,-0.003194715253440736,0.2494500530692085,-0.03032872308611022,0.22170092887209383,True,3,0.5180320990673589,0.2596058157798288,True
ties,70,8,11,0.669955189393744,0.46733633387325474,0.7755680383395442,-0.03852827563010161,0.25380645205512314,-0.026875795255653104,0.21146128935456282,True,3,0.6108656446398082,0.24185128008169163,True
