method,metric,coefficient
weight_averaging,tv_cosine,0.03181781578786689
weight_averaging,tv_l2,0.203947687001321
weight_averaging,tv_dot,0.06010286749539748
weight_averaging,tv_norm_ratio,0.009734927060833684
weight_averaging,tv_norm_mean,0.1555032069544867
weight_averaging,eff_rank_global,0.039773021587265346
weight_averaging,eff_rank_layerwise,-0.1545685525155669
weight_averaging,sub_sv_overlap,-0.31842370436439466
weight_averaging,sub_left_top,-0.18151107509682002
weight_averaging,sub_right_top,0.37220604957208925
weight_averaging,sub_right_bot,-0.31574914527727616
task_arithmetic,tv_cosine,-0.010694958682591207
task_arithmetic,tv_l2,0.26875563200036395
task_arithmetic,tv_dot,-0.004303582634595982
task_arithmetic,tv_norm_ratio,-0.03234525559192017
task_arithmetic,tv_norm_mean,0.14253168991126938
task_arithmetic,eff_rank_global,0.03010334199418742
task_arithmetic,eff_rank_layerwise,-0.15177587832887118
task_arithmetic,sub_sv_overlap,-0.29466790977376683
task_arithmetic,sub_left_top,-0.08104148876734227
task_arithmetic,sub_right_top,0.3584970385265374
task_arithmetic,sub_right_bot,-0.43580094551658527
ties,tv_cosine,-0.0945324187460683
ties,tv_l2,0.0639269579108453
ties,tv_dot,0.2166199461071116
ties,tv_norm_ratio,0.0746694220834857
ties,tv_norm_mean,0.4514177804717303
ties,eff_rank_global,0.04839992599096097
ties,eff_rank_layerwise,-0.048566112822894
ties,sub_sv_overlap,-0.4068372009695446
ties,sub_left_top,-0.05375102805398077
ties,sub_right_top,0.19715890003713726
ties,sub_right_bot,-0.18399832081505021
