method,n_subsets,n_tasks,n_features,observed_r,ci_lo,ci_hi,null_random_mean,null_random_p95,null_shuffled_mean,null_shuffled_p95,clears_both_nulls,grouped_n_features,grouped_r,grouped_null_p95,grouped_clears
weight_averaging,56,8,11,0.6111149414759872,0.1840330612107277,0.7525962827273325,0.00015962523463785127,0.29566042983663315,-0.046122957219431014,0.2333884871545726,True,3,0.4476966382622161,0.30048193309280846,True
task_arithmetic,56,8,11,0.5769208000248022,0.1372125510651708,0.743292708119905,-0.002950365525655514,0.2797191027665455,-0.03838392095816029,0.2432018342255524,True,3,0.3932327872533402,0.30634409776794314,True
ties,56,8,11,0.5875995806606779,0.27823530311258077,0.789070517985805,-0.01699607505604848,0.30925695644977563,-0.04212933239415304,0.2414075078081739,True,3,0.5538883368525125,0.33027059169793577,True
