method,metric,coefficient
weight_averaging,tv_cosine,-0.0068584729881067934
weight_averaging,tv_l2,0.2946781620494201
weight_averaging,tv_dot,0.007825573455415813
weight_averaging,tv_norm_ratio,-0.03900761185932036
weight_averaging,tv_norm_mean,0.11386084229273735
weight_averaging,eff_rank_global,0.011651454764267054
weight_averaging,eff_rank_layerwise,-0.15848738107476823
weight_averaging,sub_sv_overlap,-0.22493913289094414
weight_averaging,sub_left_top,-0.059530568272752604
weight_averaging,sub_right_top,0.42182460454664655
weight_averaging,sub_right_bot,-0.4286657417322024
task_arithmetic,tv_cosine,-0.010466900694152743
task_arithmetic,tv_l2,0.27786250338117563
task_arithmetic,tv_dot,0.021579088630874495
task_arithmetic,tv_norm_ratio,-0.014886716148819677
task_arithmetic,tv_norm_mean,0.1389727563824586
task_arithmetic,eff_rank_global,0.0033646702598737286
task_arithmetic,eff_rank_layerwise,-0.157910748512118
task_arithmetic,sub_sv_overlap,-0.2556648486287425
task_arithmetic,sub_left_top,-0.053916418794497295
task_arithmetic,sub_right_top,0.4235260225896142
task_arithmetic,sub_right_bot,-0.3908832853323899
ties,tv_cosine,-0.06289680375362024
ties,tv_l2,0.04929452372662381
ties,tv_dot,0.2774017314636655
ties,tv_norm_ratio,0.08322933226636897
ties,tv_norm_mean,0.5659671474606061
ties,eff_rank_global,0.021631025155218548
ties,eff_rank_layerwise,-0.06376647272089839
ties,sub_sv_overlap,-0.3729106624100749
ties,sub_left_top,-0.04606904965008985
ties,sub_right_top,0.20379170609861808
ties,sub_right_bot,-0.11069700526492939
