method,k,n,r_mean,r_min,r_max,mean_actual
weight_averaging,3,56,0.9143933464092234,0.8695246798746776,0.6704079181851413,0.8926567467597083
weight_averaging,4,70,0.7984194147346397,0.7076510348846583,0.5999260367397896,0.8410432377429307
task_arithmetic,3,56,0.9780053883977718,0.945256940784498,0.7979919541432311,0.8792059895546854
task_arithmetic,4,70,0.9516756659252141,0.8920477097032843,0.6468898683833693,0.8629891893571591
ties,3,56,0.9954010837495889,0.9539548300226659,0.9092776959184419,0.7439113078267999
ties,4,70,0.9884501626313682,0.904509716500659,0.8196343422861325,0.7326119607863885
