density,n,mean_acc,std_y,data_free_r,data_free_fold_r,data_free_fold_sd,data_free_nfeat,full_r,full_fold_r,full_fold_sd,full_nfeat
0.05,28,0.6476510177286344,0.09003462106142446,0.8154668073062953,0.8360993802210541,0.07677070585777487,11,0.7810315199698694,0.8265248131705816,0.06344960390211908,18
0.1,28,0.6947533715945197,0.08470334548785026,0.7234609233464371,0.7777927162914385,0.08894578698562815,11,0.6447049520480489,0.7830516687348874,0.08652752107019397,18
0.2,28,0.7568403031265907,0.07881345301761727,0.5182034711935618,0.6268341164980469,0.10732633005359116,11,0.43400414290204875,0.6999278896492649,0.18225968743267995,18
0.4,28,0.8081701826068771,0.06998780463382238,0.3154049005676978,0.5856139036097268,0.2381243639577196,11,0.48464629975507867,0.6976698012770692,0.14441208907062839,18
0.8,28,0.8083895854586529,0.07044473407673521,0.29620471412108734,0.5830057598031482,0.2571716206291315,11,0.4274515883573437,0.6964106560400017,0.1603621548303898,18
1.0,28,0.7927185835639035,0.0719490428477668,0.3322108680943003,0.5684075341452482,0.2288752050767528,11,0.4736767618753186,0.7053857768676557,0.16051237464782933,18
