k,method,n,n_features,multivariate_r,best_single_nested_r,nested_metric_mode,best_single_oracle_r,oracle_metric,gain,selection_bias
2,weight_averaging,28,11,0.3294643915453741,0.28954856122624395,sub_right_bot,0.39030868868045154,sub_right_bot,0.03991583031913015,0.1007601274542076
2,task_arithmetic,28,11,0.46493146379720707,0.14038411400567466,sub_sv_overlap,0.37785129582415233,sub_sv_overlap,0.32454734979153244,0.23746718181847767
2,ties,28,11,0.5182034711935637,0.646678982547,tv_norm_mean,0.646678982547,tv_norm_mean,-0.12847551135343627,0.0
3,weight_averaging,56,11,0.6111149414759875,0.5141744822059304,sub_sv_overlap,0.5413098217324436,sub_sv_overlap,0.09694045927005712,0.027135339526513147
3,task_arithmetic,56,11,0.576920800024803,0.41412493175811743,sub_sv_overlap,0.5449690361530927,sub_sv_overlap,0.16279586826668552,0.13084410439497524
3,ties,56,11,0.5875995806606781,0.6087242520480666,tv_norm_mean,0.625472127356585,tv_norm_mean,-0.021124671387388494,0.0167478753085184
4,weight_averaging,70,11,0.6265522125598415,0.5352901133706363,sub_sv_overlap,0.63787984849168,sub_sv_overlap,0.09126209918920525,0.10258973512104375
4,task_arithmetic,70,11,0.6957891528844008,0.6312939996266703,sub_sv_overlap,0.6439971780519553,sub_sv_overlap,0.06449515325773048,0.012703178425285011
4,ties,70,11,0.6699551893937432,0.6271511573294759,tv_norm_mean,0.6302783937712985,tv_norm_mean,0.042804032064267306,0.0031272364418225562
