method,k,n,observed_increment,null_p95,p_value,clears
weight_averaging,3,56,0.4449483365288043,0.2143225385367912,0.0015,True
weight_averaging,4,70,0.27367118061077067,0.21008653303834826,0.0105,True
task_arithmetic,3,56,0.8932980514937752,0.22305154474485905,0.0,True
task_arithmetic,4,70,0.7342264069652875,0.19878066927681634,0.0,True
ties,3,56,0.8867404992354309,0.22145820156095622,0.0,True
ties,4,70,0.7544175176996794,0.19843353564698343,0.0,True
