method,k,n,r_mean,r_min,r_max,mean_actual
weight_averaging,3,56,0.8771113398067288,0.8279680405916575,0.7872918037917483,0.8671622965936405
weight_averaging,4,70,0.7930088754983575,0.6499346525048284,0.7304385260943751,0.8121409562593314
task_arithmetic,3,56,0.9737684795207328,0.9064994581877862,0.8773479616223916,0.8525547996910137
task_arithmetic,4,70,0.9417000682124539,0.783101461032986,0.8323418555727928,0.8350694406525455
ties,3,56,0.9916266144974722,0.9088533744349511,0.9209822354583953,0.7168355660384184
ties,4,70,0.9803478775127984,0.7945256518201301,0.8777202803885091,0.7041853982745632
