method,n,data_free_r,data_free_fold_r,data_free_n_features,data_free_lambda_median,data_free_lambda_min,data_free_lambda_max,full_r,full_fold_r,full_n_features,full_lambda_median,full_lambda_min,full_lambda_max,retention
weight_averaging,28,0.5969966755239735,0.640990728658809,11,0.0439,0.0178,0.1,0.6240732328774715,0.7767259284933539,18,0.0439,0.0178,0.1,0.9566131730587872
task_arithmetic,28,0.564634014828558,0.6094172840972999,11,0.0316,0.0178,0.0562,0.45549337544962043,0.5465946957114041,18,0.0562,0.0316,0.1,1.2396097182998638
ties,28,0.5332758549704916,0.5515498431558886,11,0.0781,0.0316,0.1,0.5444480183322901,0.5684010257716603,18,0.1,0.0316,0.1,0.979479834647906
