k,method,n,n_features,multivariate_r,best_single_nested_r,nested_metric_mode,best_single_oracle_r,oracle_metric,gain,selection_bias
2,weight_averaging,28,11,0.5969966755239735,0.3864850621744648,sub_sv_overlap,0.5050387772139782,sub_sv_overlap,0.21051161334950869,0.11855371503951334
2,task_arithmetic,28,11,0.5646340148285582,0.32100064930469835,tv_norm_mean,0.47282096583324046,tv_norm_mean,0.2436333655238599,0.1518203165285421
2,ties,28,11,0.5332758549704918,0.6064712625761209,tv_norm_mean,0.6116173392009415,tv_norm_mean,-0.07319540760562915,0.005146076624820584
3,weight_averaging,56,11,0.6979957708019959,0.5418169215649646,sub_sv_overlap,0.6422821386363211,sub_sv_overlap,0.1561788492370313,0.10046521707135647
3,task_arithmetic,56,11,0.667036442806976,0.4310873035999983,sub_sv_overlap,0.5999117542320347,sub_sv_overlap,0.23594913920697774,0.16882445063203638
3,ties,56,11,0.596495307175902,0.6021667044917091,tv_norm_mean,0.6311134345213818,tv_norm_mean,-0.005671397315807014,0.02894673002967274
4,weight_averaging,70,11,0.7190661472758157,0.643053770568809,sub_sv_overlap,0.6769462378515099,sub_sv_overlap,0.07601237670700678,0.0338924672827009
4,task_arithmetic,70,11,0.7417688233183173,0.6966998944511592,sub_sv_overlap,0.7276913356752343,sub_sv_overlap,0.045068928867158076,0.030991441224075045
4,ties,70,11,0.628739094059997,0.624657058416397,tv_norm_mean,0.6556208626571002,tv_norm_mean,0.0040820356435999905,0.03096380424070322
