method,metric,coefficient
weight_averaging,tv_cosine,0.0
weight_averaging,tv_l2,0.08583162159379984
weight_averaging,tv_dot,0.021316406035588664
weight_averaging,tv_norm_ratio,0.0
weight_averaging,tv_norm_mean,0.387527075208469
weight_averaging,eff_rank_global,-0.2077525240330197
weight_averaging,eff_rank_layerwise,-0.1953668903427314
weight_averaging,sub_sv_overlap,-0.19829474489016521
weight_averaging,sub_left_top,0.0
weight_averaging,sub_right_top,0.15556045663038398
weight_averaging,sub_right_bot,-0.5390868686735034
task_arithmetic,tv_cosine,0.0
task_arithmetic,tv_l2,0.20069550394434965
task_arithmetic,tv_dot,0.0
task_arithmetic,tv_norm_ratio,0.0
task_arithmetic,tv_norm_mean,0.3988704221081629
task_arithmetic,eff_rank_global,-0.23472095113079444
task_arithmetic,eff_rank_layerwise,-0.2067166032304722
task_arithmetic,sub_sv_overlap,-0.33445388327862974
task_arithmetic,sub_left_top,0.0
task_arithmetic,sub_right_top,0.3697566720845252
task_arithmetic,sub_right_bot,-0.2099259746189447
ties,tv_cosine,0.0
ties,tv_l2,0.2903115763064846
ties,tv_dot,0.0
ties,tv_norm_ratio,-0.015088304961437185
ties,tv_norm_mean,0.6234362503805768
ties,eff_rank_global,-0.12186472734561188
ties,eff_rank_layerwise,-0.0022761865494220646
ties,sub_sv_overlap,-0.21594452495340472
ties,sub_left_top,0.0
ties,sub_right_top,0.0640111832127341
ties,sub_right_bot,0.13409566568915296
