method,n_subsets,n_tasks,n_features,observed_r,ci_lo,ci_hi,null_random_mean,null_random_p95,null_shuffled_mean,null_shuffled_p95,clears_both_nulls,grouped_n_features,grouped_r,grouped_null_p95,grouped_clears
weight_averaging,70,8,11,0.7190661472758161,0.5368956591797122,0.8025551036803866,-0.03662545563168036,0.19022362521683855,-0.04029486216953433,0.21351264467964123,True,3,0.37036783030725007,0.2372212702802265,True
task_arithmetic,70,8,11,0.7417688233183221,0.5799064578765063,0.8307392357357868,-0.03282538443086316,0.2068057820330875,-0.035245129713105526,0.22297278217381783,True,3,0.43481615602384727,0.22932847087827843,True
ties,70,8,11,0.628739094060003,0.3880478945314124,0.7316516049020613,-0.03972021906825434,0.22145702985032054,-0.0372916878268903,0.1875318822414831,True,3,0.2326596824586444,0.2537771278352773,False
