k,method,n,observed_diff,ci_lo,ci_hi,crosses_zero,n_boot
2,weight_averaging,28,-0.02707655735349801,-0.4721740641106503,0.3585045925869892,True,200
2,task_arithmetic,28,0.10914063937893759,-0.39356468750734597,0.48485912455133284,True,200
2,ties,28,-0.011172163361798493,-0.20550047675146163,0.6568170496969501,True,200
3,weight_averaging,56,0.03875967588740281,-0.06970285097337396,0.22562386531456025,True,200
3,task_arithmetic,56,0.08118990921978309,-0.07293271818077855,0.25406437959356526,True,200
3,ties,56,0.05521207574490783,-0.06742455398827084,0.36453573130475914,True,200
4,weight_averaging,70,0.036205846660596896,-0.06684710061293761,0.1366792478686128,True,200
4,task_arithmetic,70,0.013246208267396087,-0.062347995117281486,0.1041870554468507,True,200
4,ties,70,0.057904836717676544,-0.10231370928182808,0.19006425230231108,True,200
