method,metric,coefficient
weight_averaging,tv_cosine,-0.08509383911379244
weight_averaging,tv_l2,0.1009934647407038
weight_averaging,tv_dot,0.06748215573752098
weight_averaging,tv_norm_ratio,-0.08289283750313613
weight_averaging,tv_norm_mean,0.2688172998589873
weight_averaging,eff_rank_global,0.07955963260286107
weight_averaging,eff_rank_layerwise,-0.15540334342725368
weight_averaging,sub_sv_overlap,-0.5673410980506759
weight_averaging,sub_left_top,0.2902919950586669
weight_averaging,sub_right_top,0.03310289135069547
weight_averaging,sub_right_bot,-0.054306153078975225
task_arithmetic,tv_cosine,-0.07187596267760313
task_arithmetic,tv_l2,0.09763123068018698
task_arithmetic,tv_dot,0.1097210915438771
task_arithmetic,tv_norm_ratio,-0.08044110979947051
task_arithmetic,tv_norm_mean,0.2490204200263598
task_arithmetic,eff_rank_global,0.09408083520848727
task_arithmetic,eff_rank_layerwise,-0.12525080878847256
task_arithmetic,sub_sv_overlap,-0.6311754449087329
task_arithmetic,sub_left_top,0.19196565942810487
task_arithmetic,sub_right_top,0.009494165525683336
task_arithmetic,sub_right_bot,-0.07743537862143096
ties,tv_cosine,-0.0860856189385938
ties,tv_l2,0.09443942652202056
ties,tv_dot,0.08669995717218337
ties,tv_norm_ratio,-0.06777649304322002
ties,tv_norm_mean,0.3564938824988336
ties,eff_rank_global,0.2011469060789113
ties,eff_rank_layerwise,-0.19064952365234958
ties,sub_sv_overlap,-0.4060446978838815
ties,sub_left_top,0.12855359626580667
ties,sub_right_top,-0.01082272407838647
ties,sub_right_bot,0.0464761922972718
