method,n_subsets,n_tasks,n_features,observed_r,ci_lo,ci_hi,null_random_mean,null_random_p95,null_shuffled_mean,null_shuffled_p95,clears_both_nulls,grouped_n_features,grouped_r,grouped_null_p95,grouped_clears
weight_averaging,28,8,11,0.5969966755239741,-0.1284676817908142,0.858436531844211,0.0050569960974056125,0.45724225087321557,-0.04305044330896214,0.35645131423647747,True,3,0.6195800266731645,0.4564279092490772,True
task_arithmetic,28,8,11,0.5646340148285707,-0.3661153686146504,0.7571577861229178,0.021196390747810087,0.46052105536017013,-0.04989209038158395,0.32734583341658746,True,3,0.4472569032112421,0.44054175085134967,True
ties,28,8,11,0.5332758549704919,-0.22064034706615357,0.6980500988305299,-0.004504169441267136,0.46129503133756117,-0.036583688849429905,0.3965426422630135,True,3,0.09991620408357903,0.4209489842811733,False
