tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|DTD|RESISC45,3,task_arithmetic,0.818073015012717,0.6846666666666666
Cars|DTD|RESISC45,3,ties,0.7337793032998549,0.611
Cars|DTD|SUN397,3,weight_averaging,0.8604701253788175,0.648
Cars|DTD|SUN397,3,task_arithmetic,0.8522335238029782,0.6416666666666667
Cars|DTD|SUN397,3,ties,0.7975151361519152,0.5993333333333334
Cars|DTD|SVHN,3,weight_averaging,0.8312020256222364,0.6996666666666668
Cars|DTD|SVHN,3,task_arithmetic,0.8085772561781286,0.6796666666666668
Cars|DTD|SVHN,3,ties,0.6850685368860577,0.5673333333333334
Cars|EuroSAT|GTSRB,3,weight_averaging,0.8390627952031461,0.7646666666666667
Cars|EuroSAT|GTSRB,3,task_arithmetic,0.8235378235378236,0.75
Cars|EuroSAT|GTSRB,3,ties,0.669905687449547,0.5993333333333334
Cars|EuroSAT|MNIST,3,weight_averaging,0.9091998694974288,0.8353333333333334
Cars|EuroSAT|MNIST,3,task_arithmetic,0.8963330718596515,0.8236666666666667
Cars|EuroSAT|MNIST,3,ties,0.7764251929246915,0.7060000000000001
Cars|EuroSAT|RESISC45,3,weight_averaging,0.8762235857671543,0.7956666666666666
Cars|EuroSAT|RESISC45,3,task_arithmetic,0.8679645363601104,0.7879999999999999
Cars|EuroSAT|RESISC45,3,ties,0.7543444452158145,0.6773333333333333
Cars|EuroSAT|SUN397,3,weight_averaging,0.9166541574460544,0.7583333333333334
Cars|EuroSAT|SUN397,3,task_arithmetic,0.9098616506535476,0.7513333333333333
Cars|EuroSAT|SUN397,3,ties,0.8143875920119014,0.661
Cars|EuroSAT|SVHN,3,weight_averaging,0.8576951100760625,0.7803333333333334
Cars|EuroSAT|SVHN,3,task_arithmetic,0.8330572068667307,0.7566666666666667
Cars|EuroSAT|SVHN,3,ties,0.6860465908084956,0.6126666666666667
Cars|GTSRB|MNIST,3,weight_averaging,0.8786241139573066,0.8036666666666666
Cars|GTSRB|MNIST,3,task_arithmetic,0.8653219474631078,0.7896666666666666
Cars|GTSRB|MNIST,3,ties,0.7257413390769599,0.6543333333333333
Cars|GTSRB|RESISC45,3,weight_averaging,0.835465804218079,0.7516666666666666
Cars|GTSRB|RESISC45,3,task_arithmetic,0.8214456149594827,0.738
Cars|GTSRB|RESISC45,3,ties,0.68808282987143,0.609
Cars|GTSRB|SUN397,3,weight_averaging,0.8895450226990403,0.7263333333333334
Cars|GTSRB|SUN397,3,task_arithmetic,0.8791580405421638,0.7160000000000001
Cars|GTSRB|SUN397,3,ties,0.7507685845865549,0.596
Cars|GTSRB|SVHN,3,weight_averaging,0.8845968196845391,0.8033333333333333
Cars|GTSRB|SVHN,3,task_arithmetic,0.8697791997290745,0.7883333333333334
Cars|GTSRB|SVHN,3,ties,0.6673454086987922,0.592
Cars|MNIST|RESISC45,3,weight_averaging,0.9001431853428369,0.8163333333333332
Cars|MNIST|RESISC45,3,task_arithmetic,0.8913537321735637,0.8083333333333332
Cars|MNIST|RESISC45,3,ties,0.79497144385655,0.7160000000000001
Cars|MNIST|SUN397,3,weight_averaging,0.9381846661521783,0.7773333333333333
Cars|MNIST|SUN397,3,task_arithmetic,0.9329327249191816,0.7719999999999999
Cars|MNIST|SUN397,3,ties,0.8529138650030793,0.6986666666666667
Cars|MNIST|SVHN,3,weight_averaging,0.9196511176259946,0.8406666666666668
Cars|MNIST|SVHN,3,task_arithmetic,0.9108423784833968,0.832
Cars|MNIST|SVHN,3,ties,0.78492953033957,0.711
Cars|RESISC45|SUN397,3,weight_averaging,0.894931134208088,0.726
Cars|RESISC45|SUN397,3,task_arithmetic,0.8911879126225428,0.7226666666666667
Cars|RESISC45|SUN397,3,ties,0.8208483976558223,0.6603333333333333
Cars|RESISC45|SVHN,3,weight_averaging,0.8553694660590532,0.7686666666666667
Cars|RESISC45|SVHN,3,task_arithmetic,0.837119000051227,0.7506666666666667
Cars|RESISC45|SVHN,3,ties,0.7093640130095377,0.6276666666666667
Cars|SUN397|SVHN,3,weight_averaging,0.90861949445217,0.7423333333333334
Cars|SUN397|SVHN,3,task_arithmetic,0.8920673896732828,0.7266666666666666
Cars|SUN397|SVHN,3,ties,0.7779519174152165,0.6206666666666667
DTD|EuroSAT|GTSRB,3,weight_averaging,0.7984612235315328,0.742
DTD|EuroSAT|GTSRB,3,task_arithmetic,0.7755540770138333,0.7203333333333334
DTD|EuroSAT|GTSRB,3,ties,0.6002647087754895,0.552
DTD|EuroSAT|MNIST,3,weight_averaging,0.8568249238772259,0.8026666666666666
DTD|EuroSAT|MNIST,3,task_arithmetic,0.8446844326850759,0.7909999999999999
DTD|EuroSAT|MNIST,3,ties,0.6988905775979465,0.6526666666666667
DTD|EuroSAT|RESISC45,3,weight_averaging,0.8378353013302808,0.7743333333333333
DTD|EuroSAT|RESISC45,3,task_arithmetic,0.8242210197696772,0.7616666666666667
