task,expert_accuracy,pretrained_accuracy,task_vector_norm
MNIST,0.997,0.53,2.42452335357666
SVHN,0.98,0.304,2.6700637340545654
GTSRB,0.988,0.317,2.3210604190826416
EuroSAT,0.999,0.396,2.2407283782958984
DTD,0.786,0.415,2.441531181335449
RESISC45,0.964,0.586,2.514643907546997
Cars,0.756,0.59,2.769123077392578
SUN397,0.724,0.623,2.885585069656372
