method,k,n_full,n_matched,r_full,median_r,p05,p95,draws_used
weight_averaging,2,28,28,0.5969966755239735,0.5969966755239735,0.5969966755239735,0.5969966755239735,0
weight_averaging,3,56,28,0.6979957708019962,0.6805781903421924,0.4785480052903243,0.8079583291884584,100
weight_averaging,4,70,28,0.7190661472758154,0.6976389081197348,0.5262349939138558,0.8240839742666556,100
task_arithmetic,2,28,28,0.564634014828558,0.564634014828558,0.564634014828558,0.564634014828558,0
task_arithmetic,3,56,28,0.6670364428069762,0.6414917849357984,0.4320594756201515,0.7854044490427681,100
task_arithmetic,4,70,28,0.7417688233183168,0.7325151692096055,0.5987315738354112,0.84092699457664,100
ties,2,28,28,0.5332758549704916,0.5332758549704916,0.5332758549704916,0.5332758549704916,0
ties,3,56,28,0.5964953071759019,0.48473961599416926,0.2501501889241796,0.6865292949816533,100
ties,4,70,28,0.6287390940599971,0.6127154690592451,0.3772732208797419,0.7732205008952903,100
