method,n,data_free_r,data_free_fold_r,data_free_n_features,data_free_lambda_median,data_free_lambda_min,data_free_lambda_max,full_r,full_fold_r,full_n_features,full_lambda_median,full_lambda_min,full_lambda_max,retention
weight_averaging,70,0.7190661472758157,0.7333546863013427,11,0.0178,0.00178,0.1,0.6828603006152185,0.7594475161213633,18,0.0178,0.00316,0.1,1.053020869170426
task_arithmetic,70,0.7417688233183173,0.7645399286666076,11,0.0439,0.00316,0.1,0.7285226150509201,0.7991690991203715,18,0.037,0.001,0.1,1.0181822883651612
ties,70,0.628739094059997,0.6622772677617665,11,0.00562,0.001,0.1,0.5708342573423206,0.6725337344101279,18,0.0439,0.00562,0.1,1.101438965816923
