method,k,n,train_r,r_mean,r_min,r_max,n_scored
weight_averaging,3,56,0.7945016365232044,0.31680792977133776,0.26495685336206476,0.18252518042787758,56
weight_averaging,4,70,0.7945016365232044,0.315333972201731,0.2672910721206966,0.06730215539893165,70
task_arithmetic,3,56,0.7608177917101647,0.333060756803638,0.2818135496722804,0.2694684587911618,56
task_arithmetic,4,70,0.7608177917101647,0.41855192279282194,0.39701255037416966,0.2603985854132337,70
ties,3,56,0.6473945845101254,0.6037801159756958,0.5241782694235647,0.6143582659692646,56
ties,4,70,0.6473945845101254,0.6475075593799963,0.5358191489510722,0.6570449050257996,70
