method,n,data_free_r,data_free_fold_r,data_free_n_features,data_free_lambda_median,data_free_lambda_min,data_free_lambda_max,full_r,full_fold_r,full_n_features,full_lambda_median,full_lambda_min,full_lambda_max,retention
weight_averaging,56,0.6979957708019959,0.7218547521249205,11,0.0316,0.00562,0.1,0.6592360949145932,0.7489014762190198,18,0.0316,0.0178,0.1,1.0587948326652596
task_arithmetic,56,0.667036442806976,0.7037598931713721,11,0.0316,0.00562,0.1,0.5858465335871932,0.6852065019749891,18,0.0316,0.00316,0.1,1.138585627062858
ties,56,0.596495307175902,0.6139586440078515,11,0.0439,0.01,0.1,0.5412832314309943,0.6135601047560071,18,0.1,0.00562,0.1,1.1020021913461888
