tasks,k,act_cosine,agg_min_act_cosine,agg_max_act_cosine,act_dot,agg_min_act_dot,agg_max_act_dot,act_l2,agg_min_act_l2,agg_max_act_l2,act_magnitude_ratio,agg_min_act_magnitude_ratio,agg_max_act_magnitude_ratio,grad_cosine,agg_min_grad_cosine,agg_max_grad_cosine,grad_dot,agg_min_grad_dot,agg_max_grad_dot,grad_l2,agg_min_grad_l2,agg_max_grad_l2,sub_interact_bot,agg_min_sub_interact_bot,agg_max_sub_interact_bot,sub_interact_top,agg_min_sub_interact_top,agg_max_sub_interact_top,sub_left_top,agg_min_sub_left_top,agg_max_sub_left_top,sub_right_bot,agg_min_sub_right_bot,agg_max_sub_right_bot,sub_right_top,agg_min_sub_right_top,agg_max_sub_right_top,sub_sv_overlap,agg_min_sub_sv_overlap,agg_max_sub_sv_overlap,tv_cosine,agg_min_tv_cosine,agg_max_tv_cosine,tv_dot,agg_min_tv_dot,agg_max_tv_dot,tv_l2,agg_min_tv_l2,agg_max_tv_l2,tv_norm_mean,agg_min_tv_norm_mean,agg_max_tv_norm_mean,tv_norm_ratio,agg_min_tv_norm_ratio,agg_max_tv_norm_ratio,eff_rank_global,eff_rank_layerwise
Cars|DTD,2,0.49151936173439026,0.49151936173439026,0.49151936173439026,1.9593803882598877,1.9593803882598877,1.9593803882598877,2.0318186283111572,2.0318186283111572,2.0318186283111572,0.8724794725520848,0.8724794725520848,0.8724794725520848,-0.0017596038524061441,-0.0017596038524061441,-0.0017596038524061441,-675.4219970703125,-675.4219970703125,-675.4219970703125,878.4017333984375,878.4017333984375,878.4017333984375,0.21378606349229812,0.21378606349229812,0.21378606349229812,0.0940720197558403,0.0940720197558403,0.0940720197558403,0.21947736218571662,0.21947736218571662,0.21947736218571662,0.3676764128357172,0.3676764128357172,0.3676764128357172,0.2832543121278286,0.2832543121278286,0.2832543121278286,0.9960398495197296,0.9960398495197296,0.9960398495197296,0.03845915198326111,0.03845915198326111,0.03845915198326111,0.26001840829849243,0.26001840829849243,0.26001840829849243,3.620723247528076,3.620723247528076,3.620723247528076,2.6053271293640137,2.6053271293640137,2.6053271293640137,0.8816983258232093,0.8816983258232093,0.8816983258232093,1.9949849843978882,1.9409781694412231
Cars|EuroSAT,2,0.39812302589416504,0.39812302589416504,0.39812302589416504,4.354806423187256,4.354806423187256,4.354806423187256,4.695323467254639,4.695323467254639,4.695323467254639,0.4177066895520622,0.4177066895520622,0.4177066895520622,-2.2255242681950925e-19,-2.2255242681950925e-19,-2.2255242681950925e-19,-1.317664050882215e-24,-1.317664050882215e-24,-1.317664050882215e-24,592.0693969726562,592.0693969726562,592.0693969726562,0.1582983256969601,0.1582983256969601,0.1582983256969601,0.06985590515658259,0.06985590515658259,0.06985590515658259,0.1901806677877903,0.1901806677877903,0.1901806677877903,0.31929037734866145,0.31929037734866145,0.31929037734866145,0.24423736676573754,0.24423736676573754,0.24423736676573754,0.9666107904911041,0.9666107904911041,0.9666107904911041,0.03231355920433998,0.03231355920433998,0.03231355920433998,0.20050103962421417,0.20050103962421417,0.20050103962421417,3.5050363540649414,3.5050363540649414,3.5050363540649414,2.5049257278442383,2.5049257278442383,2.5049257278442383,0.8091833824900917,0.8091833824900917,0.8091833824900917,1.9893337488174438,1.9260624647140503
Cars|GTSRB,2,0.3038870096206665,0.3038870096206665,0.3038870096206665,1.3385379314422607,1.3385379314422607,1.3385379314422607,2.4775545597076416,2.4775545597076416,2.4775545597076416,0.9640414547648831,0.9640414547648831,0.9640414547648831,-0.010190306231379509,-0.010190306231379509,-0.010190306231379509,-0.14134830236434937,-0.14134830236434937,-0.14134830236434937,592.0697021484375,592.0697021484375,592.0697021484375,0.14847369547002018,0.14847369547002018,0.14847369547002018,0.07987039588391781,0.07987039588391781,0.07987039588391781,0.19560649812221528,0.19560649812221528,0.19560649812221528,0.3075099489092827,0.3075099489092827,0.3075099489092827,0.26585274159908295,0.26585274159908295,0.26585274159908295,0.9760823047161102,0.9760823047161102,0.9760823047161102,0.038010358810424805,0.038010358810424805,0.038010358810424805,0.24430392682552338,0.24430392682552338,0.24430392682552338,3.544968843460083,3.544968843460083,3.544968843460083,2.54509174823761,2.54509174823761,2.54509174823761,0.8381933031550787,0.8381933031550787,0.8381933031550787,1.9913638830184937,1.9378440380096436
Cars|MNIST,2,0.25093308091163635,0.25093308091163635,0.25093308091163635,1.0557562112808228,1.0557562112808228,1.0557562112808228,2.5162994861602783,2.5162994861602783,2.5162994861602783,0.9208370257550247,0.9208370257550247,0.9208370257550247,0.00014278432354331017,0.00014278432354331017,0.00014278432354331017,0.3807687759399414,0.3807687759399414,0.3807687759399414,592.0828857421875,592.0828857421875,592.0828857421875,0.131733631757088,0.131733631757088,0.131733631757088,0.07428598659113049,0.07428598659113049,0.07428598659113049,0.18391735911369322,0.18391735911369322,0.18391735911369322,0.28851692341268065,0.28851692341268065,0.28851692341268065,0.25261561810970307,0.25261561810970307,0.25261561810970307,0.9425064945220947,0.9425064945220947,0.9425064945220947,0.035304002463817596,0.035304002463817596,0.035304002463817596,0.23702400922775269,0.23702400922775269,0.23702400922775269,3.6167144775390625,3.6167144775390625,3.6167144775390625,2.596823215484619,2.596823215484619,2.596823215484619,0.8755563713909044,0.8755563713909044,0.8755563713909044,1.9952512979507446,1.9395462274551392
Cars|RESISC45,2,0.455707848072052,0.455707848072052,0.455707848072052,2.544947624206543,2.544947624206543,2.544947624206543,2.510986328125,2.510986328125,2.510986328125,0.8181455980290264,0.8181455980290264,0.8181455980290264,-0.0010163168190047145,-0.0010163168190047145,-0.0010163168190047145,-193.78399658203125,-193.78399658203125,-193.78399658203125,674.2596435546875,674.2596435546875,674.2596435546875,0.21402897433843462,0.21402897433843462,0.21402897433843462,0.10085700456053019,0.10085700456053019,0.10085700456053019,0.2231216111034155,0.2231216111034155,0.2231216111034155,0.36570368506014345,0.36570368506014345,0.36570368506014345,0.2965458858013153,0.2965458858013153,0.2965458858013153,0.9957396388053894,0.9957396388053894,0.9957396388053894,0.03468220680952072,0.03468220680952072,0.03468220680952072,0.241504967212677,0.241504967212677,0.241504967212677,3.6762349605560303,3.6762349605560303,3.6762349605560303,2.6418834924697876,2.6418834924697876,2.6418834924697876,0.9081011703946362,0.9081011703946362,0.9081011703946362,1.9969664812088013,1.9449875354766846
Cars|SUN397,2,0.5647979974746704,0.5647979974746704,0.5647979974746704,2.699104070663452,2.699104070663452,2.699104070663452,2.0418617725372314,2.0418617725372314,2.0418617725372314,0.9560848300960262,0.9560848300960262,0.9560848300960262,0.012081542983651161,0.012081542983651161,0.012081542983651161,3818.341796875,3818.341796875,3818.341796875,792.3446044921875,792.3446044921875,792.3446044921875,0.2557000710116699,0.2557000710116699,0.2557000710116699,0.13399490974843503,0.13399490974843503,0.13399490974843503,0.24629767790436743,0.24629767790436743,0.24629767790436743,0.4024586429446936,0.4024586429446936,0.4024586429446936,0.34432258665561677,0.34432258665561677,0.34432258665561677,0.9928080403804779,0.9928080403804779,0.9928080403804779,0.036100901663303375,0.036100901663303375,0.036100901663303375,0.28846561908721924,0.28846561908721924,0.28846561908721924,3.9294800758361816,3.9294800758361816,3.9294800758361816,2.827354073524475,2.827354073524475,2.827354073524475,0.9596400766387169,0.9596400766387169,0.9596400766387169,1.998620867729187,1.9508718252182007
Cars|SVHN,2,0.30404189229011536,0.30404189229011536,0.30404189229011536,2.4311347007751465,2.4311347007751465,2.4311347007751465,3.7013933658599854,3.7013933658599854,3.7013933658599854,0.5714093144440677,0.5714093144440677,0.5714093144440677,0.008518097922205925,0.008518097922205925,0.008518097922205925,23.304271697998047,23.304271697998047,23.304271697998047,592.0496826171875,592.0496826171875,592.0496826171875,0.12912840384524316,0.12912840384524316,0.12912840384524316,0.06517255367711186,0.06517255367711186,0.06517255367711186,0.17969981715083122,0.17969981715083122,0.17969981715083122,0.2888169038295746,0.2888169038295746,0.2888169038295746,0.2377028200030327,0.2377028200030327,0.2377028200030327,0.9475286674499511,0.9475286674499511,0.9475286674499511,0.027750547975301743,0.027750547975301743,0.027750547975301743,0.2051803022623062,0.2051803022623062,0.2051803022623062,3.7946197986602783,3.7946197986602783,3.7946197986602783,2.7195934057235718,2.7195934057235718,2.7195934057235718,0.9642271793020888,0.9642271793020888,0.9642271793020888,1.9992924928665161,1.9447885751724243
DTD|EuroSAT,2,0.5092779994010925,0.5092779994010925,0.5092779994010925,4.860283374786377,4.860283374786377,4.860283374786377,4.465884208679199,4.465884208679199,4.465884208679199,0.36444051218186063,0.36444051218186063,0.36444051218186063,7.695287087974959e-19,7.695287087974959e-19,7.695287087974959e-19,4.988704299797934e-24,4.988704299797934e-24,4.988704299797934e-24,648.2864990234375,648.2864990234375,648.2864990234375,0.17783991725184023,0.17783991725184023,0.17783991725184023,0.10810716398060322,0.10810716398060322,0.10810716398060322,0.2333650331199169,0.2333650331199169,0.2333650331199169,0.3389296133816242,0.3389296133816242,0.3389296133816242,0.3153537392616272,0.3153537392616272,0.3153537392616272,0.9706153762340546,0.9706153762340546,0.9706153762340546,0.04307468608021736,0.04307468608021736,0.04307468608021736,0.23565340042114258,0.23565340042114258,0.23565340042114258,3.244525194168091,3.244525194168091,3.244525194168091,2.341129779815674,2.341129779815674,2.341129779815674,0.9177553804863892,0.9177553804863892,0.9177553804863892,1.9976165294647217,1.9314979314804077
DTD|GTSRB,2,0.36424750089645386,0.36424750089645386,0.36424750089645386,1.3998143672943115,1.3998143672943115,1.3998143672943115,2.21917462348938,2.21917462348938,2.21917462348938,0.9050227749437091,0.9050227749437091,0.9050227749437091,0.03707445040345192,0.03707445040345192,0.03707445040345192,0.5630835294723511,0.5630835294723511,0.5630835294723511,648.285888671875,648.285888671875,648.285888671875,0.15259508956689388,0.15259508956689388,0.15259508956689388,0.0804180484265089,0.0804180484265089,0.0804180484265089,0.19464195899665357,0.19464195899665357,0.19464195899665357,0.3140910381823778,0.3140910381823778,0.3140910381823778,0.26753958165645597,0.26753958165645597,0.26753958165645597,0.9813095808029175,0.9813095808029175,0.9813095808029175,0.042315542697906494,0.042315542697906494,0.042315542697906494,0.23980019986629486,0.23980019986629486,0.23980019986629486,3.29878830909729,3.29878830909729,3.29878830909729,2.3812958002090454,2.3812958002090454,2.3812958002090454,0.950657700719221,0.950657700719221,0.950657700719221,1.9984627962112427,1.9389996528625488
DTD|MNIST,2,0.38253578543663025,0.38253578543663025,0.38253578543663025,1.4042130708694458,1.4042130708694458,1.4042130708694458,2.1316332817077637,2.1316332817077637,2.1316332817077637,0.9474852206737777,0.9474852206737777,0.9474852206737777,0.009280186146497726,0.009280186146497726,0.009280186146497726,27.092092514038086,27.092092514038086,27.092092514038086,648.2662963867188,648.2662963867188,648.2662963867188,0.12954391851089894,0.12954391851089894,0.12954391851089894,0.06994802160188555,0.06994802160188555,0.06994802160188555,0.17781210832297803,0.17781210832297803,0.17781210832297803,0.2881211578845978,0.2881211578845978,0.2881211578845978,0.24883417591452597,0.24883417591452597,0.24883417591452597,0.9490800726413727,0.9490800726413727,0.9490800726413727,0.03848227858543396,0.03848227858543396,0.03848227858543396,0.22779788076877594,0.22779788076877594,0.22779788076877594,3.3761603832244873,3.3761603832244873,3.3761603832244873,2.4330272674560547,2.4330272674560547,2.4330272674560547,0.9930339502158289,0.9930339502158289,0.9930339502158289,1.999374508857727,1.9392340183258057
