method,n_subsets,n_tasks,n_features,observed_r,ci_lo,ci_hi,null_random_mean,null_random_p95,null_shuffled_mean,null_shuffled_p95,clears_both_nulls,grouped_n_features,grouped_r,grouped_null_p95,grouped_clears
weight_averaging,56,8,11,0.6979957708019972,0.46228938137013265,0.8333554501586555,0.003089599234235152,0.3148036064348879,-0.03703559991232865,0.25029936771956746,True,3,0.4662120155923945,0.31553196727660804,True
task_arithmetic,56,8,11,0.6670364428069774,0.3936863106048177,0.8247635497769258,-0.003070743397387654,0.3251344035881585,-0.04050762804722839,0.25275780042558266,True,3,0.43774218265166587,0.3101044273676012,True
ties,56,8,11,0.5964953071759034,0.13989123030891773,0.7366585117808615,-0.025562353556465207,0.3114153684638902,-0.03647755859809656,0.24045209387479466,True,3,0.13650841803256872,0.310552843659364,False
